Fall_Height,Resulting_State
5.0,Alpha
5.0,Beta
5.0,Alpha
5.0,Beta
5.0,Alpha
5.0,Alpha
5.0,Alpha
5.0,Beta
5.0,Alpha
5.0,Alpha
7.0,Alpha
7.0,Alpha
7.0,Alpha
7.0,Alpha
7.0,Alpha
7.0,Alpha
7.0,Alpha
7.0,Alpha
7.0,Alpha
7.0,Alpha
9.0,Alpha
9.0,Beta
9.0,Alpha
9.0,Beta
9.0,Beta
9.0,Alpha
9.0,Alpha
9.0,Alpha
9.0,Alpha
9.0,Alpha
11.0,Alpha
11.0,Beta
11.0,Beta
11.0,Alpha
11.0,Alpha
11.0,Alpha
11.0,Alpha
11.0,Beta
11.0,Alpha
11.0,Alpha
13.0,Alpha
13.0,Beta
13.0,Alpha
13.0,Alpha
13.0,Alpha
13.0,Alpha
13.0,Alpha
13.0,Alpha
13.0,Alpha
13.0,Alpha
15.0,Alpha
15.0,Beta
15.0,Alpha
15.0,Alpha
15.0,Alpha
15.0,Alpha
15.0,Alpha
15.0,Alpha
15.0,Alpha
15.0,Alpha
17.0,Alpha
17.0,Alpha
17.0,Alpha
17.0,Beta
17.0,Alpha
17.0,Alpha
17.0,Alpha
17.0,Alpha
17.0,Alpha
17.0,Alpha
19.0,Alpha
19.0,Alpha
19.0,Beta
19.0,Alpha
19.0,Alpha
19.0,Beta
19.0,Alpha
19.0,Alpha
19.0,Alpha
19.0,Alpha
21.0,Alpha
21.0,Alpha
21.0,Alpha
21.0,Alpha
21.0,Alpha
21.0,Alpha
21.0,Alpha
21.0,Beta
21.0,Alpha
21.0,Alpha
23.0,Alpha
23.0,Alpha
23.0,Alpha
23.0,Alpha
23.0,Alpha
23.0,Beta
23.0,Alpha
23.0,Beta
23.0,Alpha
23.0,Alpha
